month,date,trips,lowtemp,weekend,schoolvacation
1,1,3046,30,0,0
1,2,3368,33,0,0
1,3,1636,18,0,0
1,4,2275,17,1,0
1,5,2083,31,1,0
1,6,3565,11,0,0
1,7,2339,6,0,0
1,8,3973,13,0,0
1,9,4999,29,0,0
1,10,1863,28,0,0
1,11,1974,37,1,0
1,12,5483,36,1,0
1,13,6912,32,0,0
1,14,5133,41,0,0
1,15,6515,39,0,0
1,16,6075,34,0,0
1,17,6181,31,0,0
1,18,3361,25,1,0
1,19,4143,25,1,0
1,20,5376,38,0,1
1,21,1778,17,0,0
1,22,1466,9,0,0
1,23,2458,12,0,0
1,24,2656,11,0,0
1,25,2280,22,1,0
1,26,2598,19,1,0
1,27,4541,28,0,0
1,28,3166,13,0,0
1,29,3188,13,0,0
