yearreleased,movie,Actor,adjgrossin1000,adjbudgetin1000,avgrating,order,GrossRev,Budget,Rating
1962,Dr. No,Connery,457928,7688,7.5,1,457.92801,7.6880002,7.5
1963,From Russia with Love,Connery,598624,15174,7.75,2,598.62402,15.174,7.75
1964,Goldfinger,Connery,935404,22468,8.1000004,3,935.40399,22.468,8.1000004
1965,Thunderball,Connery,1040693,66333,6.9000001,4,1040.693,66.333,6.9000001
1967,You Only Live Twice,Connery,775740,66035,6.5999999,5,775.73999,66.035004,6.5999999
1969,On Her Majesty's Secret Service,Lazenby,518736,50608,6.75,6,518.73602,50.608002,6.75
1971,Diamonds are Forever,Connery,664969,41274,6.5,7,664.96899,41.273998,6.5
1973,Live and Let Die,Moore,846046,36603,6.3499999,8,846.04602,36.603001,6.3499999
1974,The Man with the Golden Gun,Moore,459623,32965,5.9000001,9,459.62299,32.965,5.9000001
1977,The Spy Who Loved Me,Moore,710290,53636,6.9499998,10,710.28998,53.636002,6.9499998
1979,Moonraker,Moore,672514,99134,5.9499998,11,672.51398,99.134003,5.9499998
1981,For Your Eyes Only,Moore,498812,71514,6.5500002,12,498.81201,71.514,6.5500002
1983,Octopussy,Moore,437059,64102,5.9000001,13,437.05899,64.101997,5.9000001
1985,A View to a Kill,Moore,329322,64730,5.4499998,14,329.32199,64.730003,5.4499998
1987,The Living Daylights,Dalton,390758,81749,6.5,15,390.758,81.749001,6.5
1989,License to Kill,Dalton,292392,78637,6.25,16,292.392,78.637001,6.25
1995,Goldeneye,Brosnan,542985,91404,7.0500002,17,542.98499,91.403999,7.0500002
1997,Tomorrow Never Dies,Brosnan,491098,159117,6.1999998,18,491.09799,159.117,6.1999998
1999,The World is Not Enough,Brosnan,504091,188130,6,19,504.091,188.13,6
2002,Die Another Day,Brosnan,557433,183255,6.0500002,20,557.43298,183.255,6.0500002
2006,Casino Royale,Craig,686784,117456,7.8499999,21,686.784,117.456,7.8499999
2008,Quantum of Solace,Craig,638035,248014,6.4000001,22,638.03497,248.01401,6.4000001
2012,Skyfall,Craig,1120980,202240,8,23,1120.98,202.24001,8
